"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"145","Michael Burton (DEN)","5","7","1.4","6","0","0","2","3","11","5.5","0","0","12","1.8","0.2","0.0%"
"146","J.J. Taylor (NE)","10","9","0.9","5","0","0","1","1","8","8.0","0","0","1","1.7","1.7","0.1%"
"147","Jerome Ford (CLE)","8","12","1.5","9","0","0","0","0","0","0","0","0","13","1.2","0.1","6.7%"
"148","Keith Smith (ATL)","1","2","2.0","2","0","0","1","2","8","8.0","0","0","10","1.0","0.1","0.0%"
"149","Jakob Johnson (LV)","0","0","0","0","0","0","5","6","10","2.0","0","0","11","1.0","0.1","0.0%"
"150","Reggie Bonnafon (FA)","3","8","2.7","5","0","0","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"151","Devine Ozigbo (DET)","3","4","1.3","4","0","0","1","1","3","3.0","0","0","3","0.7","0.2","0.0%"
"152","Godwin Igwebuike (ATL)","3","4","1.3","4","0","0","1","1","3","3.0","0","0","5","0.7","0.1","0.0%"
"153","Kylin Hill (FA)","1","7","7.0","7","0","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"154","Ty'Son Williams (ARI)","0","0","0","0","0","0","1","1","5","5.0","0","0","1","0.5","0.5","0.0%"
"155","Demetric Felton Jr. (CLE)","1","-4","-4.0","0","0","0","2","4","8","4.0","0","0","6","0.4","0.1","0.1%"
"156","Duke Johnson Jr. (FA)","2","4","2.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"157","Damien Williams (LV)","2","2","1.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.1%"
"158","Jordan Howard (FA)","1","1","1.0","1","0","0","0","0","0","0","0","0","1","0.1","0.1","0.0%"
"159","La'Mical Perine (KC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"160","Derrick Gore (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","Chris Myarick (NYG)","0","0","0","0","0","0","7","8","65","9.3","1","0","10","0.0","0.0","0.0%"
"162","Austin Walter (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"163","Darwin Thompson (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"165","Damarea Crockett (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
